Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,NumberOfNodes,Load Value,NIBufferCapacity
0.000228581,0.00022621,0.000233061,268.5179238,262.0344145,274.2503763,4,0.45,2
0.000231402,0.000227984,0.000233598,270.7015195,269.5547964,273.7825396,4,0.45,1
0.000229151,0.000224873,0.000233186,271.2288019,264.9875588,275.0458273,4,0.45,3
0.000172721,0.000171739,0.000173822,90.97023854,89.68806209,91.86166198,4,0.15,2
0.000173749,0.000170872,0.000177024,90.30716338,85.68740523,93.83564221,4,0.15,1
0.000172338,0.000171725,0.000173178,88.77142722,86.93456296,90.71644243,4,0.15,3
0.000366878,0.000362151,0.000378882,569.9140431,567.7715789,571.1915061,4,0.95,2
0.00036665,0.000362123,0.000369856,569.6995201,566.5148093,572.5339284,4,0.95,1
0.000370091,0.000361485,0.000376158,570.2349373,568.984789,571.9798344,4,0.95,3
0.001714328,0.001688489,0.001755979,260.3703124,254.4437504,265.6244563,8,0.45,2
0.001028842,0.000995265,0.00106394,260.2349386,256.2167681,266.2221685,8,0.45,1
0.002362693,0.00230526,0.002455426,263.4880714,259.1898315,267.4129317,8,0.45,3
0.000239278,0.000233783,0.000248053,90.41973815,87.57917653,92.9901425,8,0.15,2
0.000224845,0.000222708,0.000227887,90.21888399,88.35355427,92.60745189,8,0.15,1
0.000234299,0.000228372,0.000238917,89.77401262,87.78909586,92.12372274,8,0.15,3
0.006113117,0.006102315,0.006124888,312.7719174,312.6568556,312.833744,8,0.95,2
0.002925235,0.002921176,0.002932189,312.7000382,312.323696,313.031688,8,0.95,1
0.009309182,0.009295697,0.009322146,312.9075159,312.837804,312.9851895,8,0.95,3
0.005364851,0.005183956,0.005487667,207.0716913,202.2152498,216.6348807,12,0.45,2
0.002610619,0.00255156,0.002659673,205.6459223,194.4070742,211.9455252,12,0.45,1
0.008355095,0.008233589,0.008571026,208.0617776,201.8065911,213.3634516,12,0.45,3
0.000440466,0.000425692,0.000456155,90.23195791,88.70111049,92.79577265,12,0.15,2
0.000356031,0.000337869,0.000372299,90.39465381,87.69708607,93.99011452,12,0.15,1
0.000470555,0.000464611,0.000482793,89.90832621,88.20876789,92.93506692,12,0.15,3
0.009339105,0.00932784,0.009348813,208.4966768,208.4400482,208.5426779,12,0.95,2
0.004544054,0.004537441,0.004549294,208.4201082,208.3581921,208.4610254,12,0.95,1
0.014128961,0.014108152,0.014146511,208.600155,208.54552,208.639306,12,0.95,3
0.009100278,0.008942475,0.00923611,156.5721863,150.6343558,160.0993769,16,0.45,2
0.004279503,0.004186361,0.004353178,156.7946575,151.6160286,162.0624592,16,0.45,1
0.01377171,0.013381644,0.013978098,156.7484482,151.5943015,162.1174462,16,0.45,3
0.00084262,0.000814105,0.00087595,89.53097839,87.40003156,91.280525,16,0.15,2
0.000592788,0.000565442,0.000618047,90.05175307,87.95298545,92.3083565,16,0.15,1
0.001059876,0.001032142,0.001104891,89.86517276,88.17706198,92.02584308,16,0.15,3
0.012540465,0.012527985,0.012549547,156.377555,156.3352775,156.4267415,16,0.95,2
0.006146568,0.006142953,0.00615,156.3162252,156.2605627,156.3676138,16,0.95,1
0.018929602,0.018889615,0.018949926,156.4548314,156.4133879,156.495995,16,0.95,3
