,Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
0,0.002423243987524027,0.0021352898055887397,0.00258475430174046,30.38550813065969,29.528667980132198,31.1839899079094,Mesh,9.0,0.05,2.0
1,0.0062392622997717315,0.0042704795442305606,0.00808638615851209,336.52556186430235,316.368539512416,358.773470503948,Mesh,9.0,0.6,2.0
2,0.009951818225109729,0.005720210766254521,0.0133355265260994,375.15683013539217,287.30383828452005,450.39134951577904,Mesh,9.0,0.8,2.0
3,0.02603708371926969,0.0206612680376268,0.0327233598233554,101.75256926148764,95.89719127770479,106.233351658887,Torus,9.0,0.2,2.0
4,0.03349144451557043,0.0297890647596551,0.0383472656571619,136.79439270695468,126.962585219744,146.25500857113198,Torus,9.0,0.35,2.0
5,0.03943005739844605,0.035840055796843,0.0438220264482551,153.02736438099257,134.12849414138398,168.204212126495,Torus,9.0,0.6,2.0
6,0.0002032446364382052,0.00020000977191664,0.000207191380998486,59.64649247289353,57.284897297670604,61.660258349684106,Bus,9.0,0.1,2.0
7,0.0005790845251715107,0.0005626361275844889,0.000599528074108479,149.32045702646099,145.61860742353701,151.508819993593,Bus,9.0,0.25,2.0
8,0.004634921647922748,0.00451532331110529,0.0047761303327119205,277.05090582510826,273.376096467729,281.125505148283,Bus,9.0,0.6,2.0
9,0.0069281356369697115,0.006905302815914579,0.006935656149677821,278.00967117586896,277.954384961887,278.07249019976297,Bus,9.0,0.95,2.0
0,0.0024741878688144827,0.0021811024983699996,0.00263521253518295,60.55619241209261,58.9952782878335,62.6749364017565,Mesh,9.0,0.1,2.0
1,0.004719666921738665,0.00375348520845827,0.00595180586198319,291.7346626709898,283.427937265221,299.530820511287,Mesh,9.0,0.5,2.0
2,0.009144204849005041,0.0054819335922922105,0.0120704434738525,370.8246339958183,299.616229281339,427.470469807863,Mesh,9.0,0.75,2.0
3,0.0194223427910772,0.0115913142765689,0.0262203285819112,29.30304731192095,27.885311167050098,30.416032786043402,Torus,9.0,0.05,2.0
4,0.040288948892866376,0.0372468232885149,0.045467035832052,152.72483966745324,132.11819260071698,171.76607870953998,Torus,9.0,0.65,2.0
5,0.0421289222712343,0.0385972233502956,0.0478056700090427,153.75994722507045,124.528746682912,194.75120167250302,Torus,9.0,0.9,2.0
6,0.00186882707424946,0.00181548307090768,0.0019298536453087399,231.42509983804,228.496357838668,234.663684581947,Bus,9.0,0.4,2.0
7,0.004007346237856897,0.0039422364575756605,0.00408825782702293,273.67775215338514,266.31922812481497,278.285186993729,Bus,9.0,0.55,2.0
8,0.0063850002510618745,0.00633871732634885,0.00645130290433717,278.25731249199896,274.80009328906004,279.78329449665404,Bus,9.0,0.8,2.0
0,0.002568123755215521,0.00228306697683542,0.00276573974677145,90.03364246880352,86.7099077508412,94.4254823864487,Mesh,9.0,0.15,2.0
1,0.0053024523399330045,0.00388570116354324,0.00659466008901774,315.74956991470094,305.543118429729,323.99344475948396,Mesh,9.0,0.55,2.0
2,0.01108142521831024,0.0061999713503759,0.0155229982771096,372.22962310457086,264.814007773256,470.293907310304,Mesh,9.0,0.85,2.0
3,0.02388440328315857,0.0172144253998553,0.0299135000592991,80.52245134112087,78.6857475926635,83.6038816446175,Torus,9.0,0.15,2.0
4,0.03534333301569255,0.0325910229108182,0.039321727754525,142.42603663676599,133.19060547741,150.98949957883002,Torus,9.0,0.4,2.0
5,0.042164722590808036,0.0392449170608607,0.0464470545303366,152.07654755417107,125.782763613022,184.18952019238702,Torus,9.0,0.8,2.0
6,0.00026354288241161813,0.000254225216908909,0.000267762404139788,90.08028746033956,88.268129306263,91.25601023820292,Bus,9.0,0.15,2.0
7,0.0013533668357111664,0.00130693543448415,0.0013786532961811901,206.26275205926697,202.62521752842602,211.436372673391,Bus,9.0,0.35,2.0
0,0.002659833455366434,0.00235938010390748,0.0028641948221626396,120.14246779531722,116.194723020219,122.55162810040599,Mesh,9.0,0.2,2.0
1,0.004069856464511725,0.0034586421430392303,0.00475014780042307,265.6643770615095,261.554543761674,271.01829757507403,Mesh,9.0,0.45,2.0
2,0.012666299853453793,0.00670302995416081,0.0174072971122867,367.10827420985396,228.81761302354698,509.85362238784006,Mesh,9.0,0.95,2.0
3,0.029210926622413744,0.025042071055518998,0.0353858357676599,116.48411790685287,111.640622145772,122.59892859575599,Torus,9.0,0.25,2.0
4,0.03702788360421325,0.0336514809098112,0.0400612476281787,145.65122985224232,134.521383416939,153.43681887323,Torus,9.0,0.45,2.0
5,0.04140905910736238,0.0383977776390738,0.0459673229595529,152.2373705819247,123.644477686117,184.934957999673,Torus,9.0,0.75,2.0
6,0.00017123391409697278,0.00016991599879255802,0.000172581661801027,30.05771133338933,28.9030585313766,30.7986406687185,Bus,9.0,0.05,2.0
7,0.0003868706392559718,0.000379083365024865,0.000395876734248839,119.81890386354456,117.264841426697,121.43979377016501,Bus,9.0,0.2,2.0
8,0.005353230883857428,0.00520976571093733,0.00550891636762159,279.1113244684516,270.140021737541,286.04942768927003,Bus,9.0,0.65,2.0
9,0.006619853826631728,0.00657721016043166,0.00666405778732446,278.08716353769097,276.121741151859,279.261990032893,Bus,9.0,0.85,2.0
0,0.002789603552398981,0.00244068505077547,0.0030528619756912396,150.2838750687962,143.46674152869198,155.750996217987,Mesh,9.0,0.25,2.0
1,0.003713050188280687,0.0032819793977605896,0.0044690418248451705,240.56088999180776,235.638175299151,245.05550061099999,Mesh,9.0,0.4,2.0
2,0.008267945924791211,0.00512650026063713,0.0112088225690127,362.30960323600715,309.904713518005,407.344244822827,Mesh,9.0,0.7,2.0
3,0.021412991037207944,0.014738479193049,0.0283213865403587,56.26005255487818,54.14638899689611,57.6336831754101,Torus,9.0,0.1,2.0
4,0.03861691427503214,0.0351170856348433,0.0430841336135088,152.69478026792524,136.814028199997,165.93839025670601,Torus,9.0,0.55,2.0
5,0.04138865249946047,0.0380139378251357,0.0451483475520803,152.5332861484491,126.988296108111,178.340364308192,Torus,9.0,0.7,2.0
6,0.042885923009517525,0.03910952363442201,0.0485133545363499,151.73692872966,116.775192030636,189.17820467741,Torus,9.0,0.95,2.0
7,0.002526813114040953,0.00245919053513533,0.0026115482755892897,251.0719557933839,245.43862944611098,258.53445794474897,Bus,9.0,0.45,2.0
8,0.005710885589535459,0.0056150729669482,0.00580503829316434,278.5802661564202,271.218500525589,288.249392397689,Bus,9.0,0.7,2.0
9,0.0068180231760626275,0.00678636432960761,0.00683797663115864,278.00987221308696,277.192613033185,278.49118562688,Bus,9.0,0.9,2.0
0,0.00301781435444561,0.00276632750807535,0.00331220427656062,179.60451743156625,171.898591474438,186.111196479066,Mesh,9.0,0.3,2.0
1,0.003269333944796861,0.00297318066541224,0.00372729936794387,209.45008616711837,204.313799081409,217.627255642245,Mesh,9.0,0.35,2.0
2,0.007087456327134065,0.00462760067105206,0.00964565536692677,353.61027408720986,323.405180000184,381.02892463015996,Mesh,9.0,0.65,2.0
3,0.011760232451716595,0.00623419106959057,0.0159300623627086,372.7700216995938,252.644415871217,490.743063522458,Mesh,9.0,0.9,2.0
4,0.031117394465670776,0.0276136414546247,0.0370867098162057,129.13708265704702,121.309329195665,136.74911274213102,Torus,9.0,0.3,2.0
5,0.03778104277904739,0.034708202464254,0.0408062781011066,149.49300947644898,137.264352515658,160.866672177004,Torus,9.0,0.5,2.0
6,0.042028727210091474,0.0382324401422024,0.0466549077347631,153.01299254889415,123.001965118246,187.49287958342202,Torus,9.0,0.85,2.0
7,0.0009017383581374877,0.000868157048668162,0.000917579986072425,178.67637366651647,176.47509608872898,181.229668325304,Bus,9.0,0.3,2.0
8,0.003257279885228997,0.00319520386461052,0.00333533041295361,264.300549515156,258.66628707026797,271.06009265396096,Bus,9.0,0.5,2.0
9,0.0060767340086948455,0.006016737582927261,0.006151993205132629,278.36836805667724,272.714012197792,283.878335901029,Bus,9.0,0.75,2.0
